Title (auto)	DMDb: Title	SoS: Title	SoS: Original Title	Wikipedia: Title	IMDb HoH: Title	IMDb Deaf Movies: Title	IMDb Deaf Characters: Title	HollywoodSpeaks: Title	Year (auto)	DMDb: Release Date	SoS: Year	Wikipedia: Year	IMDb HoH: Year	IMDb Deaf Movies: Year	IMDb Deaf Characters: Year	HollywoodSpeaks: Year	IMDb ID (auto)	DMDb: IMDb ID	SoS: IMDb ID	IMDb HoH: IMDb ID	IMDb HoH: IMDb URL	IMDb Deaf Movies: IMDb ID	IMDb Deaf Movies: IMDb URL	IMDb Deaf Characters: IMDb ID	IMDb Deaf Characters: IMDb URL	Wikidata ID (auto)	Wikipedia: Wikidata ID	Wikipedia: Article	Wikipedia: URL	Sources	IMDb URL (auto)	Wikipedia URL (auto)	Lookup Notes (auto)	Wikipedia: Description	IMDb HoH: Description	IMDb HoH: Notes	IMDb Deaf Movies: Description	IMDb Deaf Characters: Description	DMDb: Synopsis	SoS: Summary	HollywoodSpeaks: Synopsis	DMDb: Deaf Actor	DMDb: Deaf Director	DMDb: Deaf Writer	DMDb: Deaf Editor	HollywoodSpeaks: Deaf Characters	DMDb: Category	SoS: Tags	SoS: Format	DMDb: Genre	DMDb: Duration	HollywoodSpeaks: Length	DMDb: Language	SoS: Languages	DMDb: Country	SoS: Countries	DMDb: Sign Language %	SoS: Director/Creator	DMDb: Company	DMDb: Free To Watch	DMDb: URL	SoS: Platforms	HollywoodSpeaks: Studio/Producer	HollywoodSpeaks: Page	IMDb ID (manual)	Wikidata ID (manual)
Moonrise		Moonrise						Moonrise	1948		1948					1948														Sign on Screen; Hollywood Speaks										Film noir about bullied man who kills his tormentor; his deaf friend, coded as 'village idiot', hides the murder weapon	Danny Hawkins (Dane Clark) is taunted throughout his childhood... When Danny accidentally kills one of the town bullies, he is distraught to find the murder weapon in the hands of a deaf-mute named Billy Scripture (Morgan).					Harry Morgan		deaf victim/witness; friendship	Feature			90 min		English		US		Frank Borzage					Republic	116		
The Most Beautiful Thing	The Most Beautiful Thing								2012	March 1, 2012																				DMDb									A down on his luck boy finds love in the most unexpected way.								Shorts			Drama; Romance; Short	11 minutes									Free Short	https://deafmovie.org/title/the-most-beautiful-thing/					
Mother, Father, Deaf	Mother, Father, Deaf								2020	July 14, 2020																				DMDb									Through the stories of three CODAs (children of deaf adults), this film offers a previously unseen portrayal and exploration of these children’s daily reality and upbringing.								x Documentaries; x Documentaries by Non-Deaf Directors			N/A	50 minutes		English		USA						https://deafmovie.org/title/mother-father-deaf/					
Mother. In the Name of Millions		Mother. In the Name of Millions							2014		2014																			Sign on Screen										Dialogue-free short about a man's mother who goes deaf								family drama; progressive hearing loss	Short							Estonia; Ukraine		Vyacheslav Bihun								
Motion of Confusion	Motion of Confusion								1996	March 1, 1996																				DMDb									Full Clip				Robert Hoskin				Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts			Short	10 minutes		Japanese Sign Language		Japan		50-100% Sign Language Usage			Free Short	https://deafmovie.org/title/motion-of-confusion/					
Motor Oil	Motor Oil								2010	June 4, 2010																				DMDb									48 Hour Project.			Tyrone Giordano	Jules Dameron	Erik Call	Eric Calbert		Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts			Short	6 minutes		American Sign Language		USA		50-100% Sign Language Usage			Free Short	https://deafmovie.org/title/motor-oil/					
Mountain Justice		Mountain Justice						Mountain Justice	1930		1930					1930														Sign on Screen; Hollywood Speaks										Western about man returning home to find his father's killer; includes passage of pretending to be deaf	Maynard plays a cowboy whose father is shot after receiving a warning note. He feigns deafness to force individuals to communicate through notes...					Ken Maynard		grief; hearing character pretending to be deaf; western	Feature			Not specified in Filmography		English		US		Harry Joe Brown					Universal	113		
Mountains of the Moon		Mountains of the Moon							1990		1990																			Sign on Screen										Missionary drama includes father deafened by beetle in ear								deafened by accident/violence; drama; religion	Feature					English; French		US		Bob Rafelson								
Mourning	Mourning	Mourning	Soog						2011	October 9, 2011	2011																			DMDb; Sign on Screen									A deaf couple keeps a tragic secret from their nephew, debating the child’s future in a language not as private as they believe, whilst on a road trip home to Tehran. Mourning is a humorous and compassionate meditation on communication and emotional disability. Official selection of the prestigious Global Lens Collection presented by the Global Film Initiative. (Iran: Persian w. English subs.)	Deaf couple take on care of their nephew when his parents are killed							Movies with No Deaf Actors | Leading Roles; Movies	adoption/foster care; Coda; drama; family drama; grief	Feature	Drama	01 hours 25 minutes			Farsi; Iranian Sign Language (ISL)		Iran		Morteza Farshbaf			https://deafmovie.org/title/mourning/					
Mozhi						Mozhi			2007					2007			tt1034053					tt1034053	https://www.imdb.com/title/tt1034053/?ref_=ls_t_8							IMDb Deaf Movies							A musician's love towards a stubborn deaf woman makes her eventually realize that there is more to her life than she previously thought.																													
Mr. Holland’s Opus	Mr. Holland’s Opus	Mr Holland's Opus			Mr. Holland's Opus		Mr. Holland's Opus		1995	December 29, 1995	1995		1995		1995		tt0113862			tt0113862	https://www.imdb.com/title/tt0113862/?ref_=ls_t_108			tt0113862	https://www.imdb.com/title/tt0113862/?ref_=ls_t_4					DMDb; Sign on Screen; IMDb HoH; IMDb Deaf Characters					A frustrated composer finds fulfillment as a high school music teacher.			A frustrated composer finds fulfillment as a high school music teacher.	A frustrated composer finds fulfillment as a high school music teacher.	Music teacher juggling work and life with deaf son							Movies with Deaf Actors | Supporting Roles; Movies	deaf child; deaf child hearing parent; family drama; music	Feature	Drama; Music			American Sign Language	American Sign Language (ASL); English	USA	US		Stephen Herek			https://deafmovie.org/title/mr-hollands-opus/					
Mr & Mrs Smith		Mr & Mrs Smith							2005		2005																			Sign on Screen										Action comedy about two assassins (Angelina Jolie and Brad Pitt) includes passages in sign language								action; comedy	Feature					American Sign Language (ASL); English		US		Doug Liman								
Mr Subtitles	Mr Subtitles								2012	December 7, 2012																				DMDb									Matt is in an student and he is 21 years old. He is a student living in the beautiful flat with their fellow housemates… He have his ‘Mr Subtitle’ translator for him to understand and read the subtitle from everyday lives people oral speaking to him.  However, his other fellow housemate, Joe got envy of him because he is also a Profoundly Deaf student. Matt tried to run away from Joe. In this film you will find out if Matt can kept away from Joe, or it might not.				Thomas Giddens				Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts						English; British Sign Language		United Kingdom; EUR		50-100% Sign Language Usage				https://deafmovie.org/title/mr-subtitles/					
Mr Wasinski's Song		Mr Wasinski's Song							2001		2001																			Sign on Screen										Short about a Polish immigrant who regains his hearing after 60 years of deafness								deafness 'cured'	Short					English; Polish		Australia		Aidan Fennessy								
Ms .45	Ms .45								1981	April 24, 1981																				DMDb									The film follows Thana, a mute seamstress in New York City, who is raped twice in one day. She kills her second attacker and takes his gun, eventually going on a vigilante rampage against men.								Movies with No Deaf Actors | Leading Roles			Drama; Thriller; Crime	01 hours 20 minutes		English; Spanish		USA		x Mute (No Language)				https://deafmovie.org/title/ms-45/					
Mudo mundo	Mudo mundo	Mudo Mundo							2000	May 4, 2000	2000																			DMDb; Sign on Screen									Mario is a five year old boy who cannot speak. He thinks it is because his parents, friends and baby-sitter are deaf and non-speaking and he has had nobody to teach him to speak. But everybody else thinks he is deaf, too. At the end of the film, we will discover who is right.	Short about hearing 5-year-old who cannot speak because his whole family is deaf							Shorts	Coda; all/most dialogue in sign language	Short	Short	12 minutes			Spanish Sign Language (LSE)		Spain		Beatriz Pérez Moreno		Free Short	https://deafmovie.org/title/mudo-mundo/					
Multi-Handicapped					Multi-Handicapped				1986				1986				tt0091570			tt0091570	https://www.imdb.com/title/tt0091570/?ref_=ls_t_144									IMDb HoH					A portrait of the students at the Alabama Institute for the Deaf and Blind.																															
Multiverse		Multiverse	Entangled						2019		2019																			Sign on Screen										Sci-fi thriller containing several deaf actors including Sandra May Frank and Marlee Matlin								deaf actor; sci-fi/fantasy	Feature					American Sign Language (ASL); English		Canada		Gaurav Seth							tt8953768	Q112874910
Multiverse (orig. title: Entangled)	Multiverse (orig. title: Entangled)								2019	October 15, 2019																				DMDb									Four brilliant university students are forced to confront themselves in terrifying ways when their Quantum Physics experiment leads to an entangled parallel existence that leaves them questioning who they are and what is real.			Marlee Matlin					Movies with Deaf Actors | Leading Roles; Movies			Drama; Sci-fi											https://deafmovie.org/title/entangled-2/					
Mum		Mum							2013		2013																			Sign on Screen										Short about a boy's healing in the wake of an accident								deaf child; deafened by accident/violence; deafness 'cured'	Short					English		US		Alex Bohs								
Mumbai Express		Mumbai Express							2005		2005																			Sign on Screen										Kidnapping action movie includes a deaf stuntman character								action	Feature					Tamil		India		Singeetam Srinivasa Rao and Dinesh Shailendra								
Mumu								Mumu	1961							1961														Hollywood Speaks											This film, about loneliness and the need for love, features a huge deaf-mute field hand who is brought to Moscow to work... He names the dog 'Mumu,' the only word he can articulate.					Afanasi Kochetkov						Not specified in Filmography											Mosfilm	122		
Murder by Death		Murder by Death							1976		1976																			Sign on Screen										Cluedo-style comedy mystery includes deaf side character								comedy; crime/mystery	Feature					English		US		Robert Moore								
Music Within	Music Within	Music Within			Music Within		Music Within		2007	January 5, 2007	2007		2007		2007		tt0422783			tt0422783	https://www.imdb.com/title/tt0422783/?ref_=ls_t_109			tt0422783	https://www.imdb.com/title/tt0422783/?ref_=ls_t_20					DMDb; Sign on Screen; IMDb HoH; IMDb Deaf Characters					Richard Pimentel began his life as a fighter, and his life's work became fighting for the rights of others. After losing his hearing in Nam, he overcame his handicap and used his public speaking skills to inspire injured war veterans.			Richard Pimentel began his life as a fighter, and his life's work became fighting for the rights of others. After losing his hearing in Nam, he overcame his handicap and used his public speaking skills to inspire injured war veterans.	The true story of Richard Pimentel, a brilliant public speaker with a troubled past, who returns from Vietnam severely hearing -impaired and finds a new purpose in his landmark efforts on the behalf of Americans with disabilities.	Man deafened in Vietnam War campaigns for Americans with Disabilities Act							Movies with No Deaf Actors | Leading Roles; Movies	accessibility; deafened soldier; disability	Feature	Comedy; Drama; Romance; Biography; Music; War	01 hours 34 minutes			English		US		Steven Sawalich			https://deafmovie.org/title/music-within/					
Mute	Mute	Mute							2018	February 23, 2018	2018																			DMDb; Sign on Screen									A mute bartender goes up against his city’s gangsters in an effort to find out what happened to his missing partner.	Nonverbal hearing signing bartender in dystopian near-future Berlin. Tagline: 'He doesn't need words'							Movies with No Deaf Actors | Leading Roles; Movies	nonverbal	Feature		02 hours 06 minutes		English	English; German	USA	Germany; UK	x Mute (No Language)	Duncan Jones			https://deafmovie.org/title/mute/	Netflix				
The Mute Man of Sardinia		The Mute Man of Sardinia	Il Muto di Gallura						2021		2021																			Sign on Screen										Based on a true story about a mistreated deaf man who becomes an assassin in C19th Italy								crime/mystery; deaf victim/witness; deaf villain/suspect; hearing actor in deaf role	Feature					Italian; Sardinian		Italy		Matteo Fresi								
Mute Witness		Mute Witness							1995		1995																			Sign on Screen										Nonverbal hearing signing make-up artist finds herself on the set of a snuff film								crime/mystery; horror; nonverbal; thriller	Feature					American Sign Language (ASL); English; German; Russian		Germany; Russia; UK		Anthony Waller								
The Mute’s House	The Mute’s House								2015	November 10, 2015							tt5231436	tt5231436												DMDb									A building in Israeli Hebron, which has been deserted by its Palestinian occupants, is called ‘The Mute’s House’ by the Israeli soldiers stationed there and by the tour guides who pass by daily. The building’s only occupants are a deaf woman, Sahar, and her 8-year-old son, Yousef. The family’s unique story, in the midst of the Israeli-Palestinian conflict, unfolds through the eyes of the young and charismatic Yousef, as he goes through his daily routine on both sides of the torn city.								x Documentaries; x Documentaries by Non-Deaf Directors				32 minutes		Arabic; Hebrew		Israel						https://deafmovie.org/title/tt5231436/					
MVP: Most Valuable Primate		MVP: Most Valuable Primate							2000		2000																			Sign on Screen										Chimpanzee who communicates in American Sign Language (ASL) becomes famous ice hockey player								signing animal; sports	Children's feature					American Sign Language (ASL); English		Canada; US		Robert Vince								
My Brother is Deaf		My Brother is Deaf							2022		2022																			Sign on Screen										Family documentary short about a hearing boy whose brother is born deaf								born deaf; deaf child; learning sign; sibling relationship	Short					English		US		Peter Hoffman Kimball								
My Brother is Deaf					My Brother is Deaf				2023				2023				tt18310170			tt18310170	https://www.imdb.com/title/tt18310170/?ref_=ls_t_15									IMDb HoH					A moving and personal film narrated by a boy with a deaf younger brother. When his family learns that his younger brother is deaf, he and his family try their best to get to know his younger brother, and what it means to be deaf.																															
My Darling Christopher		My Darling Christopher							2020		2020																			Sign on Screen										Short about a boy who contracts meningitis and loses sight and hearing at start of WWII, includes deaf actors Brian Duffy and William Grint								deaf actor; deaf director; deafened by illness	Short					British Sign Language (BSL); English		UK		Clare-Louise English								
My Dear Beloved (orig. title: Caro Mio Ben)	My Dear Beloved (orig. title: Caro Mio Ben)								2017	October 8, 2017							tt9664364	tt9664364												DMDb									Synopsis 01Throughout seasons and years in special education, the documentary focuses on four girls with different physical disabilities. Despite their difficulties, they are full of hope and faith towards life. Their curiosity and optimism render viewers to see the most beautiful mind.								x Documentaries; x Documentaries by Non-Deaf Directors				01 hours 58 minutes		Chinese Sign Language; Chinese		China; Singapore						https://deafmovie.org/title/tt9664364/					
My Father A Man of Commitment (orig. Mon père, un homme engagé)	My Father A Man of Commitment (orig. Mon père, un homme engagé)								2024	April 12, 2024																				DMDb									Jacques Sangla is one of the pioneers of the Deaf rights movement in France. Like many Deaf people of his generation, after growing up in an oral environment, he became aware later in life of the value of his Deaf identity, his culture, and his language, sign language. His efforts helped to bring visibility to the Deaf community in society and to secure a better future.								x Documentaries				27 minutes		French Sign Language		France						https://deafmovie.org/title/my-father-a-man-of-commitment-orig-mon-pere-un-homme-engage/					
My Father Die	My Father Die	My Father Die							2016	March 12, 2016	2016																			DMDb; Sign on Screen									Deaf since having his hearing knocked out at the age of 12, Asher has been training for almost two decades to avenge himself on Ivan, the man that killed his older brother, 21 years ago. And now that his nemesis is out of prison, he gets his chance. But Asher’s target also happens to be his father.	Action thriller features vengeance enacted by a deaf brother							Movies with No Deaf Actors | Leading Roles; Movies	action; revenge/vigilante; sibling relationship; thriller	Feature	Action; Drama				American Sign Language (ASL); English		US	x Misuse Sign Language	Sean Brosnan			https://deafmovie.org/title/my-father-die/					
My Little Brother		My Little Brother							2017		2017																			Sign on Screen										Family comedy about long-lost half-brother, includes deaf signing character								comedy; sibling relationship	Feature					Korean; Korean Sign Language (KSL)		South Korea		Ma Dae-yun								
My Lovely Angel		My Lovely Angel	Naegen namu sojunghan neo						2021		2021																			Sign on Screen										Lonely man adopts deafblind child, film traces their mutual learning about life								adoption/foster care; deaf child; deafblind character; isolation; learning sign	Feature					Korean		South Korea		Sung-Mo Kwon; Chang-Won Lee								
My Name Is Earl	My Name Is Earl								2005	September 20, 2005																				DMDb									Earl is a low-life who buys a winning lottery ticket, only to get hit by a car, losing the ticket in the process. He then realizes in the hospital that his bad luck is the result of karma in which fate punishes him for all the rotten things he’s ever done in his life; therefore, he then decides to dedicate his life to making amends to all the people he has hurt in his life.			Marlee Matlin								Comedy			American Sign Language; English		USA						https://deafmovie.org/title/my-name-is-earl/					
My Salinger Year		My Salinger Year							2020		2020																			Sign on Screen										Story about J.D. Salinger's secretary; she speaks with the partially deaf Salinger on the phone, who yells								progressive hearing loss	Feature					English		Canada; Ireland		Philippe Falardeau								
My Song	My Song	My Song							2011	May 23, 2011	2011																			DMDb; Sign on Screen									My Song is a coming of age story which follows Ellen, a young deaf girl stuck in the middle of the deaf and hearing worlds.	Short about deaf girl caught between deaf and hearing worlds			William Mager	Charlie Swinbourne			Shorts by Deaf Directors; Shorts by Deaf Writers; Shorts	deaf-hearing relationship	Short	Drama; Short	24 minutes		British Sign Language	British Sign Language (BSL); English	United Kingdom	UK	50-100% Sign Language Usage	William Mager	BSLZone	Free Short	https://deafmovie.org/title/my-song/					
My Song		My Song							2009		2009																			Sign on Screen										A deaf girl from a hearing family starts to learn British Sign Language (BSL) and applies for a sign song talent quest								deaf child; deaf child hearing parent; family drama; learning sign; music; sign language poetry/song	Short					British Sign Language (BSL); English		UK		William Mager								
My Summer in Provence		My Summer in Provence	Avis de mistral						2014		2014																			Sign on Screen										Three grandchildren, the youngest of whom is deaf, meet their grandfather for the first time at his home in Provence								family drama	Feature					English; French; French Sign Language (LSF)		France		Rose Bosch								
My Summer in Provence (orig. title: Avis de mistral)	My Summer in Provence (orig. title: Avis de mistral)								2014	April 2, 2014																				DMDb									Lea, Adrian, and their little brother Theo, born deaf, go on holiday in Provence with their grandfather, Paul “Oliveron” they never met because of a family quarrel. Unfortunately, it is not the holidays they dreamed, especially after their father announced that he was leaving the house. In less than 24 hours, it is the clash of generations between the teens and their grandfather.			Lukas Pelissier					Movies with Deaf Actors | Leading Roles			Drama; Romance			French Sign Language; English; French		France; EUR						https://deafmovie.org/title/avis-de-mistral/					
My World		My World	Benim Dünyam						2013		2013																			Sign on Screen										A Turkish family's challenges with their deafblind daughter								deaf child hearing parent; deafblind character; family drama	Feature					Turkish; Turkish Sign Language (TİD)		Turkey		Ugur Yücel							tt3159564	Q18123900
My World (orig. title: Benim Dünyam)	My World (orig. title: Benim Dünyam)								2013	October 25, 2013																				DMDb									At 2 Ela lost her ability of seeing and hearing because of a severe illness. And then she became a total disappointment of her family due to her untamed behaviors. But everything changed after a teacher stepped into their lives to educate Ela while healing himself.								Movies with No Deaf Actors | Leading Roles; Movies			Drama					Turkey		x Misuse Sign Language				https://deafmovie.org/title/benim-dunyam/					
Mysterious Object at Noon		Mysterious Object at Noon	Dokfa nai meuman						2000		2000																			Sign on Screen										Fantasy mockumentary includes two deaf girl side characters								crime/mystery; sci-fi/fantasy	Feature					Thai; Thai Sign Language (TSL)		Thailand; Netherlands		Apichatpong Weerasethakul								
Mystery of the Wax Museum		Mystery of the Wax Museum							1933		1933																			Sign on Screen										Mad scientist thriller which includes a deaf lab assistant who does not sign or speak but instead grunts								deaf scientist/medical professional; isolation; oralism (repression of sign); thriller	Feature					English		US		Michael Curtiz								
Mystic River		Mystic River							2003		2003																			Sign on Screen										Three childhood friends experience a family tragedy, includes a deaf character								drama; friendship; grief	Feature					English		US		Clint Eastwood								
Name Me Lawand		Name Me Lawand							2022		2022																			Sign on Screen										Documentary about a young deaf Kurdish boy's migration, language learning and integration into British Deaf Culture								deaf child; deaf child hearing parent; Deaf Culture; isolation; School for the Deaf; school/university setting	Documentary					British Sign Language (BSL); English; Kurdish; Kurdish Sign Language (ZHK)		UK		Edward Lovelace								
Napoleon Dynamite		Napoleon Dynamite							2004		2004																			Sign on Screen										Irreverent cult comedy includes scene with American Sign Language (ASL) performance of Bette Midler song								comedy; learning sign; music; sign language poetry/song	Feature					American Sign Language (ASL); English		US		Jared Hess								
Nashville		Nashville						Nashville	1975		1975					1975														Sign on Screen; Hollywood Speaks										Satirical musical includes two deaf children signing one of the songs with their mother	*This is a cynical look at the country music industry... One of the leading characters is played by Lily Tomlin, a gospel singer and the mother of two deaf children, both of whom use authentic Manual English and speak with hearing-impaired voices.					James Don Calvert; Donna Denton		deaf actor; deaf child; music; sign language poetry/song	Feature			16 reels		English		US		Robert Altman					Paramount	127		
The Neanderthal Man		The Neanderthal Man							1953		1953																			Sign on Screen										Paleontological creature feature includes dialogue in American Sign Language (ASL)								sci-fi/fantasy	Feature					American Sign Language (ASL); English		US		Ewald Andre Dupont								
Nectar		Nectar							2005		2005																			Sign on Screen										Short about 91-year-old deaf man Walter Kendall's life of his youth as a competitive swimmer								deaf sporting excellence; sports	Short					British Sign Language (BSL); English		UK		Liz Crow								
N’est pas sourd celui que l’on croit		N’est pas sourd celui que l’on croit	N’est pas sourd celui que l’on croit						2003		2003																			Sign on Screen										Documentary about School for the Deaf that includes Israeli and Palestinian students								deaf child; friendship; Indigenous character/themes; learning sign; School for the Deaf	Documentary					French; Hebrew; Israeli Sign Language (Shassi/ISL); Levantine Arabic Sign Language		France; Israel		Jean-Luc Gunst; Elie Roubah								
Never Give Up	Never Give Up	Never Give Up							2023	September 1, 2023	2023																			DMDb; Sign on Screen									The incredible true story of 20-year-old Brad Minns, who defied all odds in the Men’s Singles Tennis Finals at the 1985 Deaf World Games. In a grueling five-hour showdown, Minns staged a miraculous comeback—saving match point in the third set and ultimately capturing the gold medal in the fifth. This unforgettable match becomes the backdrop for the inspiring journey of a man who lost his hearing at age three and, through faith and relentless determination, rose to the top of his sport. With God’s help, Brad lived the message that carried him:Never Give Up.	Biopic about deaf tennis champion Brad Minns at the 1985 Deaf World Games							Movies with No Deaf Actors | Leading Roles; Movies	biopic; deaf sporting excellence; drama; sports	Feature	Family; Sport	01 hours 20 minutes		English	American Sign Language (ASL); English	USA	US		Rob Loos			https://deafmovie.org/title/never-give-up/	 				
Nevermind	Nevermind								2025	January 15, 2025							tt35663034	tt35663034												DMDb												Carlos Soroa					Shorts with Deaf Actors | Leading Roles; Shorts				10 minutes		Spanish Sign Language; Spanish		Spain; EUR						https://deafmovie.org/title/nevermind/					
The New Ice Age		The New Ice Age	De nieuwe ijstijd						1974		1974																			Sign on Screen										Documentary about economic inequality compares life in Peru and the Netherlands, including a focus on three deaf sisters working at a Dutch ice cream factory								accessibility; sibling relationship	Documentary					Dutch; Spanish		The Netherlands		Johan van der Keuken								
Nice Talking to You		Nice Talking to You							2018		2018																			Sign on Screen										Multilingual short in which two deaf people make a connection in NYC								drama; sign language poetry/song	Short					American Sign Language (ASL); Arabic; English		US		Saim Sadiq								
The Night of the 12th		The Night of the 12th	La Nuit du 12	The Night of the 12th					2022		2022	2022														Q112584985	Q112584985	The Night of the 12th	https://en.wikipedia.org/wiki/The_Night_of_the_12th	Sign on Screen; Wikipedia				A scene in this French crime drama features investigators hiring a deaf woman (who communicates in LSF) and her interpreter to try and lip-read a hidden camera video that has no sound.						Murder crime mystery includes significant scene in French Sign Language (LSF)								crime/mystery	Feature					French; French Sign Language (LSF)		Belgium; France		Dominik Moll				 				
Night of the Vampires		Night of the Vampires	Der Fluch der grünen Augen						1964		1964																			Sign on Screen										Mad scientist and vampires take over German village, includes deaf character (Tom)								sci-fi/fantasy; survival narrative	Feature					German		West Germany; Yugoslavia		Ákos Ráthonyi								
Night Shift					Night Shift				2022				2022				tt31596560			tt31596560	https://www.imdb.com/title/tt31596560/?ref_=ls_t_91									IMDb HoH					A deaf, female security guard on the night shift observes a man in a midst of a crisis. When they encounter each other they find a new way to communicate.																															
Nine Lives		Nine Lives							2005		2005																			Sign on Screen										Drama about nine women's lives, includes American Sign Language (ASL) dialogue								drama	Feature					American Sign Language (ASL); English; Spanish		Mexico; US		Rodrigo Garcia								
Nine Miles to Noon								Nine Miles to Noon	1963							1963														Hollywood Speaks											An American travels to Greece to find the wife and child he deserted years earlier... The son's friend is a 'deaf-mute.'					Unknown						67 min											Daron Enterprises	123		
Nip/Tuck	Nip/Tuck								2003	July 22, 2003																				DMDb									Two plastic surgeons – one a dedicated family man and one an unscrupulous playboy – strive to maintain their business whilst having to work their way through numerous hardships ranging from personal relationships to clients with criminal connections.			Marlee Matlin								Drama											https://deafmovie.org/title/nip-tuck/					
No Ordinary Hero: The Super Deafy Movie		No Ordinary Hero: The Super Deafy Movie							2013		2013																			Sign on Screen										Deaf actor (John Maucere) portrays 'SuperDeafy' superhero on television, wants to help deaf child Jacob (Zane Hencker)								deaf actor; deaf child; deaf director; deaf superhero; deaf writer/producer	Feature					American Sign Language (ASL); English		US		Troy Kotsur								
No Ordinary Hero: The SuperDeafy Movie	No Ordinary Hero: The SuperDeafy Movie				No Ordinary Hero: The Super Deafy Movie	No Ordinary Hero: The SuperDeafy Movie			2013	October 1, 2013			2013	2013			tt2907898	tt2907898		tt2907898	https://www.imdb.com/title/tt2907898/?ref_=ls_t_48	tt2907898	https://www.imdb.com/title/tt2907898/?ref_=ls_t_57							DMDb; IMDb HoH; IMDb Deaf Movies					A deaf actor who plays a superhero must inspire a deaf boy to believe in himself.		A deaf actor who plays a superhero on a TV show must look beyond the cape to inspire a deaf boy to believe in himself.		A deaf actor who plays a superhero on a TV show must look beyond the cape to inspire a deaf boy to believe in himself.			Marlee Matlin; John Maucere; Shoshannah Stern; Liz Tannebaum	Troy Kotsur				Movies with Deaf Actors | Supporting Roles; Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies			Comedy; Drama; Family	01 hours 19 minutes		American Sign Language		USA		50-100% Sign Language Usage			Free Movie	https://deafmovie.org/title/no-ordinary-hero-the-superdeafy-movie/					
No Road Back		No Road Back							1957		1957																			Sign on Screen										A deafblind woman tries to save her son from getting drawn into a gang								Coda; deafblind character; family drama	Feature					English		US		Montgomery Tully								
No Road Back								No Road Back	1956							1956														Hollywood Speaks											*A blind-deaf London nightclub owner (Rawlings) lets a gang use her club... She locks the leader in her office and, with the aid of her guide dog, shoots at him... she is killed in the process.					Margaret Rawlings						Not specified in Filmography											RKO	119		
No Way Out		No Way Out						No Way Out	1950		1950					1950														Sign on Screen; Hollywood Speaks										Black doctor caring for slum residents experiences extreme racism, includes deaf character who exploits lipreading ability	*Sidney Poitier plays a black doctor... Another brother is a deaf-mute (Bellaver) who reads comic books and can lip-read; the two brothers and the deceased brother's wife (Linda Darnell) all use signs...					Harry Bellaver		drama; lipreading, inc. magical; medical drama	Feature			9 reels		English		US		Joseph L Mankiewicz					Twentieth Century-Fox	116		
Nobody is Perfect		Nobody is Perfect	Va a ser que nadie es perfecto						2006		2006																			Sign on Screen										Comedy about three male friends, each with a different disability, including one who is deaf								comedy; disability; friendship	Feature					Spanish		Spain		Joaquín Oristrell								
Noelle		Noelle							2019		2019																			Sign on Screen										Disney Christmas film in which Santa's daughter, Noelle, discovers she's his heir when she can understand the languages all children communicate with her in; this is revealed when she naturally signs in American Sign Language (ASL) with deaf child (Shaylee Mansfield)								deaf actor; deaf child; learning sign	Children's feature					American Sign Language (ASL); English		US		Marc Lawrence				Disney+				
Noise		Noise							2019		2019																			Sign on Screen										Man deafened by accident/violence starts to hear people's thoughts and to solve crimes								crime/mystery; Deaf Gain; deafened by accident/violence	Feature					French		France		Jeremy Laval								
Noise		Noise							2007		2007																			Sign on Screen										Australian police officer struggles with tinnitus								drama; isolation; tinnitus	Feature					English		Australia		Michael Saville								
Non Abbandonare	Non Abbandonare								2019	August 1, 2019																				DMDb									Black Summer				Antonio Bottari				Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies				01 hours 00 minutes		Italian Sign Language		Italy; EUR		50-100% Sign Language Usage				https://deafmovie.org/title/non-abbandonare/					
Noor		Noor							2012		2012																			Sign on Screen										Transgender Pakistani woman's journey, includes reference to deaf character								drama; queer	Feature					Punjabi; Urdu		France; Pakistan		Guillaume Giovanetti; Cagla Zencirci								
Nope		Nope							2022		2022																			Sign on Screen										Horror mystery with Daniel Kaluuya, Keke Palmer and Stephen Yeun includes flashback scenes with signing ape 'Gordy' on television series								crime/mystery; family drama; horror; sci-fi/fantasy; signing animal	Feature					American Sign Language (ASL); English; Spanish		US		Jordan Peele								
Norma Rae		Norma Rae							1979		1979																			Sign on Screen										Sally Field factory drama; her mother is going deaf from the machinery								deafened by sound exposure; drama; family drama; progressive hearing loss	Feature					English		US		Martin Ritt								
Not from Where I’m Standing	Not from Where I’m Standing	Not from Where I'm Standing							2004	June 1, 2004	2004																			DMDb; Sign on Screen									Witness the downfall of a sign language interpreter as he provides the voice over for a film of a man walking in a park	Sign language interpreter unravels while interpreting							Shorts	deaf actor; deaf director; deaf writer/producer	Short	Drama; Short	4 minutes			British Sign Language (BSL); English		UK		Samuel Dore; Jez Toogood			https://deafmovie.org/title/not-from-where-im-standing/					
The Novelist's Film		The Novelist's Film	So-seol-ga-ui yeong-hwa						2022		2022																			Sign on Screen										A novelist visits a friend at their bookstore; includes passages in Korean Sign Language (KSL)								drama; friendship	Feature					Korean; Korean Sign Language (KSL)		South Korea		Hong Sang-soo								
