English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
A Sonic Pulse		Dorothy Allen-Pickard; Antoine Marinot	2019	Short	British Sign Language (BSL)	UK	Vimeo	Short documentary about deaf people's interactions with and experiences of electronic music	all/most dialogue in sign language; music; vibrations	tt11944548
A Star is Born		Bradley Cooper	2018	Feature	English	US		Country musician Jack (Bradley Cooper) has worsening tinnitus; it is suggested his suicide is partly related to his progressive hearing loss	deaf musician/dancer; deafened by sound exposure; drama; music; progressive hearing loss; romance; tinnitus	tt1517451
Aaron's Consent		Davo Hardy	2014	Short	Australian Sign Language (Auslan); English	Australia		Australian short about a young deaf man with cerebral palsy, Aaron, and his quest for self-determination	accessibility; disability	tt3662142
	Abang Adik	Jin Ong	2023	Feature	Cantonese; Malay; Mandarin	Malaysia; Taiwan 		Neo-noir crimdrama film about a pair of orphans in Malaysia, one deaf-mute, who struggle in a poverty-stricken and crime-ridden enivronment.	crime; drama	tt27445004
Abbott Elementary		Quinta Brunson	2021-	Series	American Sign Language (ASL); English	US	Disney	In season 3 episode 2 of this teacher workplace comedy, Janine encounters endless bureaucratic red tape as she tries to get the school district to hire an ASL interpreter for one of Jacob’s hard of hearing students	comedy; deaf child; friendship; learning sign; school/university setting	tt14218830
Accessibility in Action		JoAnn Smith	2011-3	Series	American Sign Language (ASL); English	Canada		Mini-series about accessibility for various disabilities, includes section on deafness	accessibility; disability	tt1955142
Accused		Marlee Matlin	2023	Series	American Sign Language (ASL); English	US		Season 1 episode 2 ("Ava's Story") of this crime drama series is about a deaf surrogate who protects her deaf baby from the hearing parents getting it a cochlear implant. Includes deaf actors Josh Castille, Marlee Matlin and Stephanie Nogueras	adoption/foster care; cochlear implant; deaf actor; deaf child; deaf director	tt19397024
After My Death	Joi manheun sonyeo	Kim Uisek	2017	Feature	Korean; Korean Sign Language (KSL)	South Korea		Whodunnit about the death of a young girl's best friend begins with unsubtitled signing in a classroom, which sets the tone for ambiguity and mystery	crime/mystery; drama; friendship; school/university setting	tt7390044
Akouse Me		Maria Douza	2022	Feature	Bulgarian; Greek; Greek Sign Language (ENG)	Greece		A young girl in financial distress has to leave her progressive Athens School for the Deaf and move home to her father's island	deaf child; deaf child hearing parent; hearing actor in deaf role; isolation; School for the Deaf; school/university setting	tt16089466
The Alienist		David Caffrey et. al.	2018	Series	English	US	Netflix	Criminal psychology drama set in the 19th century includes Indigenous hearing nonverbal signing character (Mary) who cannot speak due to aphasia, agraphia and trauma	crime/mystery; drama; Indigenous character/themes; nonverbal	tt4604612
