English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
Mute		Duncan Jones	2018	Feature	English; German	Germany; UK	Netflix	Nonverbal hearing signing bartender in dystopian near-future Berlin. Tagline: 'He doesn't need words'	nonverbal	
The Mute Man of Sardinia	Il Muto di Gallura	Matteo Fresi	2021	Feature	Italian; Sardinian	Italy		Based on a true story about a mistreated deaf man who becomes an assassin in C19th Italy	crime/mystery; deaf victim/witness; deaf villain/suspect; hearing actor in deaf role	
My Brother is Deaf		Peter Hoffman Kimball	2022	Short	English	US		Family documentary short about a hearing boy whose brother is born deaf	born deaf; deaf child; learning sign; sibling relationship	
My Darling Christopher		Clare-Louise English	2020	Short	British Sign Language (BSL); English	UK		Short about a boy who contracts meningitis and loses sight and hearing at start of WWII, includes deaf actors Brian Duffy and William Grint	deaf actor; deaf director; deafened by illness	
My Dead Ex		Jason Director; Drew Hancock; Ayla Harrison	2018	Series	American Sign Language (ASL); English	US		One-season high school comedy about a girl falling in love with a dead boy, includes several deaf actors such as Martina Bell and Ryan Lane	comedy; deaf actor; deaf-hearing relationship; romance; school/university setting	
My Father Die		Sean Brosnan	2016	Feature	American Sign Language (ASL); English	US		Action thriller features vengeance enacted by a deaf brother	action; revenge/vigilante; sibling relationship; thriller	
My Little Brother		Ma Dae-yun	2017	Feature	Korean; Korean Sign Language (KSL)	South Korea		Family comedy about long-lost half-brother, includes deaf signing character	comedy; sibling relationship	
My Lovely Angel	Naegen namu sojunghan neo	Sung-Mo Kwon; Chang-Won Lee	2021	Feature	Korean	South Korea		Lonely man adopts deafblind child, film traces their mutual learning about life	adoption/foster care; deaf child; deafblind character; isolation; learning sign	
My Salinger Year		Philippe Falardeau	2020	Feature	English	Canada; Ireland		Story about J.D. Salinger's secretary; she speaks with the partially deaf Salinger on the phone, who yells	progressive hearing loss	
My Song		William Mager	2011	Short	British Sign Language (BSL); English	UK		Short about deaf girl caught between deaf and hearing worlds	deaf-hearing relationship	
My Summer in Provence	Avis de mistral	Rose Bosch	2014	Feature	English; French; French Sign Language (LSF)	France		Three grandchildren, the youngest of whom is deaf, meet their grandfather for the first time at his home in Provence	family drama	
My World	Benim Dünyam	Ugur Yücel	2013	Feature	Turkish; Turkish Sign Language (TİD)	Turkey		A Turkish family's challenges with their deafblind daughter	deaf child hearing parent; deafblind character; family drama	
Nailed It!		Paul Starkman	2018	Series	English	US		Season 1 episode 4 ("Weird Science") of this reality comedy baking show includes deaf contestant Megan Swanson (series duration 2018-)	comedy; deaf contestant; reality tv	
Name Me Lawand		Edward Lovelace	2022	Documentary	British Sign Language (BSL); English; Kurdish; Kurdish Sign Language (ZHK)	UK		Documentary about a young deaf Kurdish boy's migration, language learning and integration into British Deaf Culture	deaf child; deaf child hearing parent; Deaf Culture; isolation; School for the Deaf; school/university setting	
Neighbours			1985-2022	Series	Australian Sign Language (Auslan); English	Australia		Final year of the 40-year show (2021-22) includes two deaf characters: teacher Curtis (Nathan Borg) who's had a cochlear implant since childhood, and older lady Shannon who is looking into hearing aids and is mentored by Curtis	cochlear implant; deaf actor; drama; hearing aid; progressive hearing loss	
Never Give Up		Rob Loos	2023	Feature	American Sign Language (ASL); English	US	 	Biopic about deaf tennis champion Brad Minns at the 1985 Deaf World Games	biopic; deaf sporting excellence; drama; sports	
New Amsterdam			2018-	Series	American Sign Language (ASL); English	US		Season 1 episode 19 of this medical drama features Lauren Ridloff. Season 3 (2020) also briefly features John P. McGinty as doctor and season 4 (2021) includes deaf surgeon played by Sandra Mae Frank	deaf actor; deaf scientist/medical professional; drama; medical drama	
The New Normal:		Ryan Murphy	2012	Serid	English	US		Pilot for a series about the surrogate for a gay couple, including a deaf mom character played by deaf actor Antoinette Abbamonte	adoption/foster care; Coda; deaf actor; queer	
Nice Talking to You 		Saim Sadiq	2018	Short	American Sign Language (ASL); Arabic; English	US		Multilingual short in which two deaf people make a connection in NYC	drama; sign language poetry/song	
The Night of the 12th	La Nuit du 12	Dominik Moll	2022	Feature	French; French Sign Language (LSF)	Belgium; France	 	Murder crime mystery includes significant scene in French Sign Language (LSF)	crime/mystery	
No Ordinary Hero: The Super Deafy Movie		Troy Kotsur	2013	Feature	American Sign Language (ASL); English	US		Deaf actor (John Maucere) portrays 'SuperDeafy' superhero on television, wants to help deaf child Jacob (Zane Hencker)	deaf actor; deaf child; deaf director; deaf superhero; deaf writer/producer	
Noelle		Marc Lawrence	2019	Children's feature	American Sign Language (ASL); English	US	Disney+	Disney Christmas film in which Santa's daughter, Noelle, discovers she's his heir when she can understand the languages all children communicate with her in; this is revealed when she naturally signs in American Sign Language (ASL) with deaf child (Shaylee Mansfield)	deaf actor; deaf child; learning sign	
Noise		Jeremy Laval	2019	Feature	French	France		Man deafened by accident/violence starts to hear people's thoughts and to solve crimes	crime/mystery; Deaf Gain; deafened by accident/violence	
Noor		Guillaume Giovanetti; Cagla Zencirci	2012	Feature	Punjabi; Urdu	France; Pakistan		Transgender Pakistani woman's journey, includes reference to deaf character	drama; queer	
The Novelist's Film	So-seol-ga-ui yeong-hwa	Hong Sang-soo	2022	Feature	Korean; Korean Sign Language (KSL)	South Korea		A novelist visits a friend at their bookstore; includes passages in Korean Sign Language (KSL)	drama; friendship	
Novitiate		Maggie Betts	2017	Feature	American Sign Language (ASL); English; Latin	US		Vatican sexual discrimination drama about a nun, IMDb lists American Sign Language (ASL); more details needed	drama; religion	
Number 5		Emiliano Gómez	2017	Short	Spanish	Paraguay		Short about a deafblind woman and her hearing brother discovering her appreciation of music	deafblind character; family drama; music; sibling relationship; vibrations	
The Offer		Leslie Greif; Michael Tolkin	2022	Series	English	US		Fictionalised mini-series based on the making of 1972's The Godfather includes Lou Ferrigno as Lenny Montana (Luca Brasi actor), in his first role after receiving cochlear implants	deaf actor	
On Beat		Reid Davenport; Cheng Zhang	2015	Short	American Sign Language (ASL); English	US		Hearing parents and deaf children bond over the beat of music	deaf child; deaf child hearing parents; family drama; music; vibrations	
One Day That Changed My Life		Meyrick Cook; Jimmy Dallas; Tom Dalzell	2019	Documentary	British Sign Language (BSL); English	UK		Season 2 episode 6 of this documentary series about pivotal days in people's lives is about deaf woman Nelema passing her driver's test (series duration 2018-19)	accessibility	
Only I Can Hear		Itaru Matsui and Heath Cozens	2021	Short	American Sign Language (ASL); English; Japanese	Canada; Japan		Three hearing teenagers come of age in a Midwest Deaf community	Coda; Deaf Culture; deaf-hearing relationship	
Only Murders in the Building		John Hoffman; Steve Martin	2021	Series	American Sign Language (ASL); English; Spanish	US	Disney+	Murder mystery comedy series with Selena Gomez, Steve Martin and Martin Sheen includes a hearing father and Deaf son (Theo, played by James Caverley) criminal duo who work as grave robbers	crime/mystery; deaf actor; deaf child hearing parent; deaf villain/suspect; deaf-hearing relationship	
The Ornithologist	O Ornitólogo	João Pedro Rodrigues	2016	Feature	English; Latin; Mandarin; Mandarin; Portuguese; Portuguese Sign Language (LGP)	Brazil; France; Portugal		A mystic quest in which an ornithologist meets a series of tests and figures he must pass, including a deaf man	sci-fi/fantasy	
Our Deaf Ways		Paula Thornton	2022	Documentary	Auslan	Australia		Video podcast' series about Deaf Culture, news language and life in several episodes from Australian broadcaster SBS 	accessibility; Deaf Culture; all/most dialogue in sign language; learning sign	
Outlander		Anna Foerster	2014	Serid	English; invented sign language; Scots	US		Season 1 episode 8 of this Scots time travel fantasy includes a hearing character who communicates in sign because his tongue has been cut out. Season 5 episode 3 also includes some sign (series duration 2014-)	nonverbal; sci-fi/fantasy	
Outsider: The Life and Art of Judith Scott		Betsy Bayha	2006	Documentary	American Sign Language (ASL); English	US		Documentary short about artist Judith Scott, who is deaf and has Down's Syndrome	accessibility; deaf artist; disability	
	Palabras de Caramelo	Juan Antonio Moreno Amador	2016	Short	Francophone African Sign Language (LSAF)	Spain		Young deaf boy in a Sahara refugee camp wants to learn to write to translate the words of his best friend, a camel named Caramelo	deaf child; friendship	
The Palawan Script	Baybayin	Auraeus Solito	2012	Feature	Filipino	Philippines		Two sisters fall in love with the same deaf man who they cannot yet communicate with	deaf-hearing relationship; drama; family drama; learning sign; romance; sibling relationship	
The Parts You Lose		Christopher Cantwell	2019	Feature	English	Canada; US		Friendship between a hearing criminal on the run and a young, bullied deaf boy who shelters him in his family's barn	crime/mystery; deaf actor; deaf child; deaf child hearing parent; deaf victim/witness; friendship	
	Pas le choix	Hrysto	2022	Feature	French; French Sign Language (LSF)	France		All Deaf-led cabaret-style short about a murder mystery includes fantastical mixing of French and French Sign Language (LSF) in which all characters naturally understand each other despite not knowing each other's language	crime/mystery; deaf actor; deaf director; deaf writer/producer; deaf victim/witness; deaf villain/suspect; queer; romance	
Passengers		Dickie Hearts	2015	Short	American Sign Language (ASL); English	US		Deaf-led road trip comedy short, includes deaf actors Amanda McDonough, Josh Castille and Miles Barbee	deaf actor; deaf director; deaf writer/producer	
The Pastman		Charlie Ainsworth	2018	Short	American Sign Language (ASL)	US		ASL short about time travel and time travel criminals in hiding, includes deaf actors Russell Harvard and Sandra Mae Frank	deaf actor; deaf director; deaf writer/producer	
People Magazine Investigates		Stephan Schuster	2019	Documentary	American Sign Language (ASL); English	US		True crime documentary with reenactments about the year 2000 murderes at Gallaudet University	crime/mystery; deaf actor; school/university setting	
People of the Eye		Martina Bell	2019	Short	American Sign Language (ASL)	US		ASL sci-fi short with mostly-Deaf cast	deaf actor; deaf director; deaf writer/producer; all/most dialogue in sign language; sci-fi/fantasy	
Perfect Sense		David Mackenzie	2011	Feature	British Sign Language (BSL); English	Denmark; Ireland; Sweden; UK		Erotic drama starring Ewan McGregor and Eva Green during an epidemic that destroys the senses	deafened by illness; drama	
The Perfect Wedding		Scott Gabriel	2012	Feature	English	US		Gay wedding romantic comedy includes a deaf family member	queer; romantic comedy	
Perfection		Kimberly Chou	2017	Short	American Sign Language (ASL); English	US		Short in which painter witnesses two deaf gallery guests (Eddie Buck and Megan Clancy) viewing his work	deaf actor; drama	
Petroleum Spirit	Crash Burn Love	Rob Sanders	2015	Feature	English	UK		Dark thriller in which a young, hard of hearing man sets out to find his father after the death of his mother	crime/mystery; deaf child hearing parent; grief; isolation	
The Photo		Marcus Greco	2020	Short	English	US		Deaf-led romance short in which a man pines for his girlfriend while staring at a photo, includes deaf actors Dani Duran and Eddie Buck	deaf actor; deaf director; deaf writer/producer; romance	
Pittsburgh		Rory Dering	2013	Short	American Sign Language (ASL); English	US		Short about conversations on relationships between deaf and hearing gay partners	deaf-hearing relationship; queer; romance	
Planet of Snail	Dalpaengee eui byeol	Seung-jun Yi	2011	Feature	Korean; Korean Sign Language (KSL)	Finland; Japan; South Korea		Deafblind man (Cho Young-Chan) struggles to communicate with those around him until he shares tactile sign language with a disabled woman	accessibility; deafblind documentary; disability; learning sign	
Plus One		Duncan Ragg	2024	Short	Australian Sign Language (Auslan); English	Australia		Comedy short about a man determined to throw the perfect house party	comedy	
The Politician		Ian Brennan; Brad Falchuk; Ryan Murphy	2019-	Series	American Sign Language (ASL); English	US	Netflix	High school politics dramedy includes Deaf actor Natasha Ofili in four episodes	deaf actor; school/university setting	
Portals		Steve Helgoth	2021	Short	English	US		Sci-fi portal short includes Josh Castille in supporting role	deaf actor; sci-fi/fantasy	
Power in Our Hands		Angela Spielspinger	2016	Documentary	British Sign Language (BSL); English	UK		Documentary about activism in the British Deaf Community	accessibility; Deaf Culture	
Preman		Randolph Zaini	2021	Feature	Indonesian; English 	Indonesia		An action about a deaf father protecting his son against crime associates after his son witnessed a murder. 	action; crime/mystery	tt10011002
Press Mute to See		Harry Pages	2016	Short	British Sign Language (BSL); English	UK		Short in which a deaf woman busks on the street	deaf artist	
Project Nim		James Marsh	2011	Documentary	American Sign Language (ASL); English	UK; US		Documentary about Nim, the famous chimpanzee trained by a New York family to sign in the 1970s	signing animal	
Project Runway		Eli Holzman	2004-	Series	American Sign Language (ASL); English	US		This popular fashion contest series featured deaf designer Justin LeBlanc as a contestant in season 12 (2013). Justin had an American Sign Language (ASL) interpreter present throughout his participation in the series	accessibility; deaf artist; deaf contestant; Deaf Gain; reality tv	
Project Runway All Stars		Eli Holzman	2012-2019	Series	American Sign Language (ASL); English	US		Spinoff of the fashion design contest featuring popular winners included deaf contestant Justin LeBlanc in season 4 (2014). Justin had an American Sign Language (ASL) interpreter present throughout his participation in the series	accessibility; deaf artist; deaf contestant; Deaf Gain; reality tv	
Punk Chef			2013	Series	British Sign Language (BSL)	UK		British Sign Language (BSL) cooking show in which 'Punk Chef' teaches British deaf people to 'eat healthier'	all/most dialogue in sign language; reality tv	
Puss in Boots in German Sign Language	Die gestiefelte Katze in deutscher Gebärdensprache	Britt Dunse	2021	Children's short	German Sign Language (DGS)	Germany		Children's German Sign Language animated rendition of the fairy tale Puss in Boots	all/most dialogue in sign language	
Quantico		Joshua Safran	2015-18	Series	American Sign Language (ASL); English	US	Disney+	Marlee Matlin is in all episodes of season 3 of this FBI training drama	crime/mystery; deaf actor; drama	
The Queen of Silence		Agnieszka Zwiefka	2014	Feature	Polish; Romanian Sign Language (LSR); Romany	Germany; Poland		Musical about a deaf Roma girl who loves Bollywood musicals	deaf musician/dancer; drama; music	
Queer as Folk		Stephen Dunn	2022	Series	American Sign Language (ASL); English	US		Young queer romance and drama series includes character played by Nyle DiMarco	deaf actor; drama; romance; queer	
The Quiet Ones		Teresa Garratty	2015	Short	British Sign Language (BSL); English	UK		Horror thriller in British Sign Language (BSL) about the student suspects in the murder of a teacher at a Deaf school	deaf child; deaf villain/suspect; horror; School for the Deaf; school/university setting; thriller	
Quiet Signs of Love		John Nikolakopoulos	2011	Short	Australian Sign Language (Auslan); English	Australia		Short about a university student couple, one hearing and one deaf	deaf-hearing relationship; drama; romance; school/university setting	
The Raid 2	Serbuan maut 2: Berandal	Gareth Evans	2014	Feature	English; Indonesian; Japanese	Indonesia; US		Action film includes deaf assassin who wears sunglasses to hide that she's also lost an eye	action; deaf villain/suspect; deafblind character; hearing actor in deaf role	
Rampage		Brad Peyton	2018	Feature	American Sign Language (ASL); English	US	Binge	Dwayne 'The Rock' Johnson action movie featuring gorilla he saved and uses sign language with	action; signing animal	
Rangasthalam		Sukumar	2018	Feature	Telugu	India		Hard of Hearing protagonist of this period drama does not want to use hearing aid	drama; hearing actor in deaf role; hearing aid	
REAL		Tatiana Roberts and Michelle Mary Schaefer	2020	Series	American Sign Language (ASL); English	US		Mini 'tiny film' web-series about deafness and love	accessibility; deaf-hearing relationship; romance	
Real Housewives of Beverly Hills		Alex Baskin; Scott Dunlop; Kathleen French	2016	Series	English	US		Season 6 (2010) of the 'Real Housewives' reality series includes deaf housewife Kathryn Edwards, who gets a hearing aid for the first time in episode 6 of the season (series duration 2010-)	deaf contestant; drama; hearing aid; reality tv	
Red Line		James Caverley; Zilvinas Paludnevicius	2010	Short	English	US		Romance short about a shy young man who falls for a deaf woman	deaf-hearing relationship; romance	
RelationShit		Kobus Louw	2017	Short	English	US		Romance short about a deaf couple's (Eddie Buck and Megan Clancy) breakup	deaf actor; hearing actor in deaf role; romance	
Remember	Rimembeo	Lee Il-Hyung	2022	Feature	Korean Sign Language (KSL)	South Korea		Revenge thriller about an octogenarian man with Alzheimer's trying to avenge his family's death under Japanese occupation before he loses his memory; includes dialogue in Korean Sign Language (KSL)	crime/mystery; revenge/vigilante 	
Resident Evil: Retribution		Paul W S Anderson	2012	Feature	American Sign Language (ASL); English	Canada; Germany; US		Action horror film in which one character has a deaf daughter	action; deaf child; deaf child hearing parent; horror	
The Resilient Larsons		Kalyan Mantri	2022	Short	American Sign Language (ASL); English	US		Drama short about a deaf couple (Dani Duran and Eddie Buck) who are expecting their first child	born deaf; deaf actor; deaf child; family drama; romance	
	(((Resonancia)))	Ximena Quiroz	2016	Documentary	Spanish; Spanish Sign Language (LSE)	Chile		Documentary about the communication divide between the hearing and deaf worlds, and how it can be transcended	accessibility; Deaf Culture; deaf-hearing relationship; learning sign	
Retreat		Ted Evans	2013	Short	British Sign Language (BSL); English	UK	URL	Deaf-led short about a deaf woman in a secret commune who helps a deaf man taken hostage there, includes deaf actors Adam Bassett,. Brian Duffy and Sophie Stone	deaf actor; deaf director	
Reunion		William Mager	2025	Series	British Sign Language (BSL); English	UK		Four-part drama miniseries follows a Deaf man (Matthew Gurney) who is released from prison following a mysterious crime and finds his world changed	action; crime/mystery; deaf actor; Deaf Culture; deaf director; Deaf Gain; deaf suspect/villain; deaf writer/producer; drama; revenge/vigilante	
Reverberations		Samuel Dore	2018	Feature	British Sign Language (BSL); English	UK		150 years in the future, a fascist government eliminates deafness through gene therapy; a deaf girl (Mia Ward) travels to the present to stop the process being invented	deaf actor; deaf director; deafness 'cured'; sci-fi/fantasy	
Reverse Polarity		Jules Dameron	2018	Series	American Sign Language (ASL); English	US		All-Deaf romance drama of six episodes including deaf actors Amber Zion, Amelia Hensley, Josh Castille, Martina Bell and Sandra Mae Frank	 deaf actor; deaf director; deaf writer/producer; drama; romance	
Rick		Jan-Peter Horstmann	2018	Documentary	English; German; German Sign Language (DGS)	Germany		Documentary short about deaf pornography actor	deaf actor; sex work	
The Rider		Chloé Zhao	2017	Feature	American Sign Language (ASL); English; Sioux; Spanish	US		Chloé Zhao drama about a cowboy suffering a major head injury, includes passages in sign language	deafened by accident/violence; drama; western	
Rita Simons: My Daughter, Deafness and Me		Sophie Leonard	2012	Documentary	English	UK		Documentary about a family's social and educational choices for their two children, one of whom is losing her hearing	adapting to deafness; deaf child; deaf child hearing parent; progressive hearing loss; sibling relationship	
Rise of the Planet of the Apes		Rupert Wyatt	2011	Feature	American Sign Language (ASL); English	Canada; UK; US		Prequel to the classic sci-fi series about hyperintelligent apes; Caesar is a young hyperintelligent chimp who begins to exhibit IQ by signing, but shows he's reach the level of human intelligence when he begins to speak	learning sign; learning speech; sci-fi/fantasy; signing animal	
Riverdale		Roberto Aguirre-Sacasa	2017-	Series	American Sign Language (ASL); English	US		High school drama includes two deaf characters: school counsellor and graphic novelist Daniel, and late-deafened student Jughead, whom he counsels	deaf child; drama; school/university setting	
Rumble		Matthew Hopper	2015	Short	British Sign Language (BSL); English	UK		A deaf boxer must choose between his passion for his sport and a cochlear implant operation	cochlear implant; deaf sporting excellence; drama; sports	
Run		Craig Otto	2025	Feature	American Sign Language (ASL); English	US		Drama about a rural mechanic deafened in an accident who comes to terms with his new life, includes deaf actors like Marlee Matlin and secondary roles played by 25 deaf actors	adapting to deafness; deaf actor; deafened by accident/violence; drama	
The Salon		Roxanne Messina Captor	2020	Series	English	US		Relationship comedy series set in salon context includes recurring character played by Eddie Buck	comedy; deaf actor	
Saruhbai V/S Sarubhai			2004-17	Series	English; Gujarati; Hindi	India		Family comedy drama includes a deaf husband character	comedy; deaf-hearing relationship; family drama	
Satan's Slaves	Pengabdi Setan	Joko Anwar	2017	Feature	Indonesian; Indonesian Sign Language (BISINDO)	Indonesia; South Korea		Satanic horror house film includes a deaf character whose use of Indonesian Sign Language (BISINDO) is a part of the narrative	deaf child; deaf victim/witness; hearing actor in deaf role; horror; survival narrative	
Satan's Slaves 2	Pengabdi Setan 2: Communion	Joko Anwar	2022	Feature	Indonesian; Indonesian Sign Language (BISINDO)	Indonesia		Sequel to the 2017 horror film in which a deaf boy is possessed	deaf child; deaf victim/witness; hearing actor in deaf role; horror; survival narrative	
SBS Dateline		Jodee Mundy	2024	Series	American Sign Language (ASL); English	Australia		Episode 1 ("Camp Coda: Growing Up Hearing in a Deaf Family") of the 2024 season of this documentary series is about an Asian-American Coda camp for parents and children	Coda; deaf writer/producer	
Scandal!		Denny Y. Miller	2021	Series	English; South African Sign Language (SASL)	South Africa 		Season 19 of this long-running South African soap opera includes deaf actor Mxolisi Nodom (series duration 2005-)	deaf child; drama	
Scandalous Overtures			2014	Documentary	English	US		Season 1 episode 4 ("Ludwig Van Beethoven: Beethoven's Death Wish") of this documentary series about scandalous moments in famous people's lives is about Beethoven (series duration 2014-)	Beethoven; biopic; deaf musician/dancer; drama; music	
The Scarring		Eddie Buck; Kimby Caplan	2016	Short	American Sign Language (ASL); English	US		Short drama mystery co-written, co-directed by and co-starring deaf actor Eddie Buck	crime/mystery; deaf actor; deaf director; deaf writer/producer; drama	
Screen Me		Kate Vinen	2024	Short	Australian Sign Language (Auslan); English	Australia		Educational short encouraging people with disability and cervixes to get a cervical screening, made by and for people with disability	deaf actor	
Season of Love		Christin Baker	2019	Feature	American Sign Language (ASL); English	US		Romantic comedy about three lesbian couples at Christmas, one of the main characters is played by deaf actress Sandra Mae Frank	comedy; deaf actor; romance; romantic comedy; queer	
Season of Murders	Kolaiyuthir Kaalam 	Chakri Toleti	2019	Feature	Tamil	India 		A remake of Hush (2016), a deaf and mute woman must fight for life when a killer appears at her door. 	horror 	tt6280858
The Seasoning House		Paul Hyett	2012	Feature	English	UK		Horror in which a young deaf woman is sold to an isolated sex trafficking brothel as a caretaker; builds a bond with a signing victim	deaf victim/witness; hearing stalker/killer; horror	
See Hear			1981-2021	Series	British Sign Language (BSL)	UK		Weekly news program for the UK Deaf community, in British Sign Language (BSL) with subtitles, running since 1981	Deaf Culture; all/most dialogue in sign language; news	
See Hear Love		John H. Lee	2023	Feature	Japanese	Japan		A manga artist is suicidal because he's going blind, but finds solace in a relationship with a deaf fan	deaf and blind character pairing; deaf-hearing relationship; hearing actor in deaf role; deaf character inspires hearing character's self-actualisation; romance	
See for Yourself		Kylie Aoibheann	2019	Short	Australian Sign Language (Auslan); English	Australia		Horror short in which a teen's cochlear implant starts emitting terrible noise during party	character survives dangerous sound thanks to deafness; cochlear implant; horror	
Seeing Voices		Dariusz Kowalski	2016	Documentary	German; Austrian Sign Language (ÖGS)	Austria		Documentary about Deaf community in Vienna, focusing on self-determination and the multimodal qualities of sign	accessibility; Deaf Culture; Deaf Gain; learning sign	
	Sehen statt Hören: Gehörlos durch Contergan	Anne Gallert	2017	Documentary	German; German Sign Language (DGS)	Germany		Documentary about Ulrike and Andreas, who were disabled during gestation because their mothers took Contergan, one of them born deaf and without ears	accessibility; disability	
	Sens dessus dessous		2019	Series	English; Francophone African Sign Language (LSAF); French	Gabon		Mini-series about four deaf teens navigating the hearing world in Gabon	deaf child; deaf-hearing relationship	
September	Septiembre, un Ilanto en silencio	Kenneth Muller	2017	Feature	Guatemalan Sign Language (LENSEGUA); Spanish	Guatemala	Netflix	A grizzled war vet agrees to help an orphaned girl who was deafened in a terrorist attack	adoption/foster care; deaf child; deaf child hearing parent; deafened by accident/violence	
September 11th		Raabia Hussain	2012	Short	British Sign Language (BSL)	UK		Short about a deaf Muslim girl's experience of racism following 9/11	all/most dialogue in sign language; isolation	
Sesame Street: Elmo's World - All About Animals		Ken Diego; Victor DiNapoli	2014	Children's feature	English	US		Sesame Street spinoff children's feature in Elmo's world features Linda Bove	deaf actor	
Sesame Street's 50th Anniversary Celebration		Jack Jameson	2019	Children's feature	American Sign Language (ASL); English	US		50th-anniversary special celebrating Sesame Street, including Linda Bove in her classic librarian role	deaf actor	
Sex Education		Laurie Nunn	2019-2023	Series	British Sign Language (BSL); English	UK	Netflix	Season 7 of this teen coming-of-age comedy drama includes deaf character, Aisha, played by Alexandra James. Episode 7 in particular is focused on the Deaf Community	comedy; deaf actor; drama; friendship	
The Shadow of the Sun	La sombra del sol	Miguel Ángel Ferrer	2023	Feature	Spanish; Venezuelan Sign Language (VSL)	United States; Venezuela		A Deaf songwriter asks his older brother to lend his voice to enter a musical contest, so the world can finally hear him.	comedy; d/Deaf musician; drama; music; sibling relationship 	tt17542894
The Shape of Water		Guillermo del Toro	2017	Feature	American Sign Language (ASL); English; French; Russian	Canada; Mexico; US		The main character of this sci-fi romance is a nonverbal hearing signing character played by able-bodied actor Sally Hawkins	nonverbal character	
Shetland		Rebecca Gatward	2013-	Series	English	UK	Binge	Season 4 (2017) of this Scottish crime series includes Sophie Stone in a recurring role	crime/mystery; deaf actor	
Shin Godzilla	Shin Gojira	Hideaki Anno; Shinji Higuchi	2016	Feature	English; German; Japanese; Japanese Sign Language (JSL)	Japan		Japanese Godzilla film includes King Kong as adversary; Kong signs 	action; signing animal; survival narrative	
Shut In		Farren Blackburn	2016	Feature	American Sign Language (ASL); English	Canada; France; India; US	Fetch	Stepmother (Naomi Watts) of boy in coma (Charlie Heaton) takes on the care of a deaf boy from her school (Jacob Tremblay)	adoption/foster care; deaf child; deaf child hearing parent; disability; hearing person in deaf role; grief; school/university setting	
	Si, o no ?	Jose Carlos Rojo Puente	2021	Short	Spanish	Spain		Short about boy unable to confess love for girl, one of them is deaf	deaf-hearing relationship; romance	
Sicario: Day of the Soldado		Stefano Sollima	2018	Feature	English; Mexican Sign Language (LSM); Spanish	US		Crime thriller sequel in which hearing protagonist Alejandro (Benicio Del Toro) uses Mexican Sign Language (LSM) with a deaf man in one scene	crime/mystery; thriller	
Sierra Burgess is a Loser		Ian Samuels	2018	Feature	English	US	Netflix	Hearing high school girl pretends to be deaf for attention (has been highly criticised for problematic representation)	hearing person pretending to be deaf; school/university setting	
Sign	Sign: A Silent Film	Andrew Keenan-Bolger	2016	Short	American Sign Language (ASL)	US		Short in American Sign Language (ASL) about the love story between a hearing man and a deaf man (John McGinty)	deaf-hearing relationship; all/most dialogue in sign language; queer; romance	
The Sign for Love	Ech Masmnim Hahva	Iris Ben Moshe; Elad Cohen	2017	Documentary	Hebrew; Israeli Sign Language (Shassi/ISL)	Israel		Autobiographical documentary about a young deaf boy (Elad Cohen) who feels guilty for being a 'burden' on his mother	deaf actor; deaf child hearing parent; deaf director; deaf writer/producer	
Sign Gene: The First Deaf Superheroes		Emilio Insolera	2017	Feature	American Sign Language (ASL); English; Italian; Italian Sign Language (LIS); Japanese; Japanese Sign Language (JSL)	Italy; Japan; US		Action deaf superhero movie in which the villains are deaf Japanese mutants	deaf actor; deaf director; deaf superhero; deaf villain/suspect; deaf writer/producer	
Sign Language TV Special	WDR Gebärdenspecial	Britt Dunse	2012	Children's short	German Sign Language (DGS)	Germany		TV special of five children's shorts in German Sign Language	all/most dialogue in sign language	
Sign Night		Cathy Mager	2020	Short	British Sign Language (BSL)	UK		Romantic conversation in British Sign Language (BSL) held across two buildings, includes Sophie Stone	deaf actor; all/most dialogue in sign language; romance	
Signing	Signer	Nurith Aviv	2018	Documentary	French; French Sign Language (LSF); Hebrew; Israeli Sign Language (Shassi/ISL)	France; Israel		Documentary about Deaf culture and language in Israel	Deaf Culture	
Signing Black in America		Danica Cullinan; Neal Hutcheson	2020	Short	American Sign Language (ASL); Black American Sign Language (BASL); English			Documentary short about the unique sign language of BASL (Black American Sign Language) from the United States	accessibility; Deaf Culture; learning sign; oralism (repression of sign)	
Signs of Success		Sam Martin	2025	Documentary	Australian Sign Language (Auslan); English	Australia	URL	Six-part documentary mini-series exploring Deaf and HH Australians' experiences of work and how their managers and employers create Deaf-friendly work environments.	accessibility; Deaf Culture; deaf director; Deaf Gain; disability; Indigenous character/themes	
Signs of an Affair		Louis Neethling	2017	Short	British Sign Language (BSL); English	UK		A woman suspects her long-term husband of having an affair	drama; romance	
Silence		Maryam Pirband	2014	Short	Farsi; Iranian Sign Language (ISL)	Iran		Iranian short about a struggling young deaf mother	Coda; deaf-hearing relationship; family drama	
Silence		Jack Swiker	2018	Short	American Sign Language (ASL); English	US	YouTube	A woman loses her hearing in a car accident; while grieving she starts to learn American Sign Language (ASL) and eventually visits a Deaf Community event	adapting to deafness; Deaf Culture; deafened by accident/violence; grief; learning sign	
Silence		Brandon Brevka	2019	Short	English	US		Short about the tension between a husband and wife when he loses his hearing in an accident	adapting to deafness; deaf-hearing relationship; deafened by accident/violence; drama	
Silence	Khamoshi	Chakri Toleti	2019	Feature 	English; Hindi	India 		A remake of Hush (2016) and Season of murders (2019), a deaf and mute woman must fight for life when a killer appears at her door. 	horror 	tt8268972
