Title	Year	IMDb ID	IMDb URL	Description	Notes
Breaking Silence	2023	tt26230522	https://www.imdb.com/title/tt26230522/?ref_=ls_t_68	Follows a Deaf activist and his formerly incarcerated daughter, as they build new bonds through the experiences they've had in the criminal justice system.	
Say Cheese: Coca-Cola Refreshing Films	2022	tt18334802	https://www.imdb.com/title/tt18334802/?ref_=ls_t_69	A male college student invites a Deaf female classmate to see a movie. He mistakenly signs "cheese."	
Here Not Here	2020	tt12133142	https://www.imdb.com/title/tt12133142/?ref_=ls_t_70	Three rival urban groups clash over who should use an abandoned warehouse space. Despite their differences, they find a common language through movement that inspires them to communicate, collaborate and come together.	
Love Life	2022	tt18235306	https://www.imdb.com/title/tt18235306/?ref_=ls_t_71	Taeko and her husband, Jiro, are living a peaceful existence with son, Keita. A tragic accident brings the boy's father, Park, back into her life. Taeko throws herself into helping this deaf and homeless man to cope with pain and guilt.	
Dimensions	2022	tt31241456	https://www.imdb.com/title/tt31241456/?ref_=ls_t_73	After her astronaut mother disappears during a mission, 12-year-old Zoe, a determined Deaf girl, sets out to find her and stumbles upon a monumental discovery that alters the course of human history.	
Interpretation	2023	tt31158752	https://www.imdb.com/title/tt31158752/?ref_=ls_t_75	It's the first day of classes, and an ASL interpreter realizes that it will be a painful semester interpreting for a myopic professor and a smart-ass student.	
Diagnonsense	2022	tt20258226	https://www.imdb.com/title/tt20258226/?ref_=ls_t_76	This powerful narrative drama centers on Patrick, a Deaf man who has been incarcerated in a psychiatric hospital for 36 years after being wrongly diagnosed as a schizophrenic. With the help of a Deaf social worker who understands his dilemma, Patrick appeals for his release.	
Antonella: Mis manos, mi voz	2023	tt30175633	https://www.imdb.com/title/tt30175633/?ref_=ls_t_79	Antonella is the only deaf trans woman in Chile. After the confinement due to Covid 19 in 2021, she traveled to Santiago to perform her first solo show.	
Chocolat Viennois	2021	tt14474434	https://www.imdb.com/title/tt14474434/?ref_=ls_t_80	Gabrielle, a deaf young adult raised in an oralist family, feels like she is missing out on her life. His unexpected meeting with Avril, a deaf signer and proud of it, upsets his way of seeing things.	
Evolution of BSL: A Personal Journey	2012	tt3557178	https://www.imdb.com/title/tt3557178/?ref_=ls_t_82	Documentary about the evolution of British Sign Language (BSL). Presenter Ramon Woolfe takes us on a journey into the development of BSL, as seen through the eyes of of his relatives - Ramon is the eighth generation of his family to be born Deaf. We meet Ramon's grandmother, who refers to her sign language as 'ordinary sign language' while his mother shows how she uses BSL with less English influence. We find out about attempts to preserve regional signs through Ramon's father, and also meet leading figures in the Deaf community, the media and academia to find out about the history of the language, and what the future might hold.	
Deaflympics Running Out of Time?	2021	tt18814068	https://www.imdb.com/title/tt18814068/?ref_=ls_t_83	Documentary (2020). Presenter Aimee Campbell-Nottage looks at the history of the Deaflympic Games, which started in 1924 and continues to pit the best Deaf sportspeople from across the world against each other. Aimee also looks at how the Deaflympics celebrates Deaf culture and brings people from across the world together in a celebration of sport. But, what about the future of the Deaflympics? Is it really Running Out Of Time? Directed and edited by Sebastian Cunliffe, this programme was produced for BSLBT by ITV SignPost.	
Imaginings	2022	tt20881690	https://www.imdb.com/title/tt20881690/?ref_=ls_t_84	In Imaginings a group of six performers (Kitchen's Light), address viewers directly and share, individually and collectively, their struggles and dreams in poetic self-portraits. Against a background of suppression of deaf people and signed languages, these 'signed word' pieces of a new Deaf generation emanate confidence and empowerment. At the same time, they evoke the vulnerabilities that go with being different, confronting viewers implicitly in their openness. In the split-screen opening sequence, the performers lead the viewer into their world, which usually remains 'unheard'. Imaginings shows sign language in poetic form, and reveals the power and beauty of Deaf culture for signing and non-signing viewers alike.	
Love's Labour's Lost: Performed in British Sign Language	2012	tt4547132	https://www.imdb.com/title/tt4547132/?ref_=ls_t_85	The court of Navarre: the King and his three Lords vow to stay away from wine, women and luxury; but when the princess and her ladies from France arrive, they begin to change their minds. As each gives in to his affections and breaks his oath, they all try - unsuccessfully - to keep their love secret from each other.	
Dis?ABLE	2001	tt6144638	https://www.imdb.com/title/tt6144638/?ref_=ls_t_86	A deaf man wakes up one morning and suddenly can hear. Having the option to keep hearing or to go back to being deaf. What does he choose?	
Silent Film	1997	tt0177223	https://www.imdb.com/title/tt0177223/?ref_=ls_t_87	Being brought up by deaf parents did not hinder director Malcolm Venville. Instead, it opened his eyes to a whole new world of vivid images. Silent Film is an 11-minute film documenting his parents' romance.	
Country of the Deaf	1998	tt0143907	https://www.imdb.com/title/tt0143907/?ref_=ls_t_89	Alyosha has a gambling problem and his girlfriend becomes a stripper to help pay off his debt.	Russian hearing actress Dina Korzun portrays Deaf character Yaya, the film portrays a Deaf underworld and a Deaf mafia clan. Russian sign language is used.
Firefly	2023	tt23645408	https://www.imdb.com/title/tt23645408/?ref_=ls_t_90	A young girl who is deaf, living in a Cornish fishing village with her dad and Grandad sees her life change drastically when her dad remarries and goes to work on an oil rig, leaving her with an increasingly abusive stepmother.	
Night Shift	2022	tt31596560	https://www.imdb.com/title/tt31596560/?ref_=ls_t_91	A deaf, female security guard on the night shift observes a man in a midst of a crisis. When they encounter each other they find a new way to communicate.	
See Through	2019	tt8778570	https://www.imdb.com/title/tt8778570/?ref_=ls_t_95	In the moments after a Deaf couple discovers they are pregnant, a coffee shop thrums with everything left unsaid. Starring Tony Award nominee Lauren Ridloff.	
The Device That Turned Me Into a Cyborg Was Born the Same Year I Was	2023	tt25470918	https://www.imdb.com/title/tt25470918/?ref_=ls_t_96	Through visual metaphors and circumstantial installations, Chella Man explores his cyborg identity and personal relationship to the freedom and constraints cochlear implants created.	
Double Discrimination: Made in Britain	2015	tt4271854	https://www.imdb.com/title/tt4271854/?ref_=ls_t_97	Double Discrimination: Made in Britain. Written and Directed by Rinkoo Barpaga, this personal documentary examines whether racism exists in the Deaf community, told from Rinkoo's personal background and perspective (SL).	
Life Is a Gift	2011	tt1995359	https://www.imdb.com/title/tt1995359/?ref_=ls_t_98	An Afghan refugee claiming asylum in he UK has the physical inability to hear or speak as extra burdens to carry on top of his other fears.	
Wonderstruck	2017	tt5208216	https://www.imdb.com/title/tt5208216/?ref_=ls_t_100	Tells the tale of two children separated by fifty years. In 1927, Rose searches for the actress whose life she chronicles in her scrapbook; in 1977, Ben runs away from home to find his father.	
The Hammer	2010	tt1094666	https://www.imdb.com/title/tt1094666/?ref_=ls_t_101	A coming of age drama following the life of Matt Hamill, the first deaf wrestler to win a National Collegiate Wrestling Championship.	
Lake Windfall	2013	tt2432258	https://www.imdb.com/title/tt2432258/?ref_=ls_t_102	The film is a portrait of interactions between deaf, hard of hearing, and hearing people. The lot focuses on five characters in a post-apocalyptic setting. Told with humor and emotion, this film takes a authentic look at three different types of hearing loss experiences. While navigating through this tale of awareness and survival, both hearing and deaf will realize how critical effective communication is to our collective survival.	
A Quiet Place	2018	tt6644200	https://www.imdb.com/title/tt6644200/?ref_=ls_t_103	A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.	
The Silent Child	2017	tt6186970	https://www.imdb.com/title/tt6186970/?ref_=ls_t_107	A deaf girl named Libby lives in a world of silence until a caring social worker teaches her to use sign language to communicate.	
Mr. Holland's Opus	1995	tt0113862	https://www.imdb.com/title/tt0113862/?ref_=ls_t_108	A frustrated composer finds fulfillment as a high school music teacher.	
Music Within	2007	tt0422783	https://www.imdb.com/title/tt0422783/?ref_=ls_t_109	Richard Pimentel began his life as a fighter, and his life's work became fighting for the rights of others. After losing his hearing in Nam, he overcame his handicap and used his public speaking skills to inspire injured war veterans.	
Bratz	2007	tt0804452	https://www.imdb.com/title/tt0804452/?ref_=ls_t_114	During their first year of high school, four best girlfriends face off against the domineering student body President, who wants to split them up into different social cliques.	Hearing actor Ian Nelson plays the deaf character Dylan.
The Letter	2024	tt28364288	https://www.imdb.com/title/tt28364288/?ref_=ls_t_115	Deaf drama set in 1930s Nazi Germany.	
Listen to Your Heart	2010	tt1274296	https://www.imdb.com/title/tt1274296/?ref_=ls_t_119	When Danny, a struggling musician, meets Ariana, a hearing-impaired girl, he falls in love with her. Although Ariana is unable to listen to his songs, she manages to inspire him to make great music.	
The Legend of the Mountain Man	2008	tt1786712	https://www.imdb.com/title/tt1786712/?ref_=ls_t_120	Three kids visit their estranged grandparents' Montana ranch and discover an unknown creature, leading to a family healing journey.	
Beyond Silence	1996	tt0116692	https://www.imdb.com/title/tt0116692/?ref_=ls_t_124	Since the earliest days in her childhood Lara has had a difficult but important task. Both her parents are deaf-mute and Lara has to translate from sign-language to the spoken word and vice versa when her parents want to communicate with other people. Getting older and more mature she becomes interested in music and starts to play clarinet very successfully. However her parents are deaf, they cannot share Lara's musical career. The day comes when Lara has to decide between her parents and her own ambitions.	
Universal Signs	2008	tt0494285	https://www.imdb.com/title/tt0494285/?ref_=ls_t_125	After his fiancée's daughter dies while in his care, a deaf man shuts himself off from the world. Haunted by memories, it is only through new friendship that he can learn to forgive, love, and reconnect.	
Sound and Fury	2000	tt0240912	https://www.imdb.com/title/tt0240912/?ref_=ls_t_129	If you could make your deaf child hear, would you? Academy Award-nominated "Sound and Fury" follows the intimate, heart-rending tale of the Artinians, an extended family of deaf and hearing members, across three generations. Together they confront a technological device that can help the deaf to hear but may also threaten deaf culture--and their bonds with one another. For Peter and his wife, both of whom are deaf, a surgical ear implant for their 5-year-old daughter Heather means a choice between two worlds: an unfamiliar hearing world; and the deaf world, a robust culture in its own right united by a uniquely visual and artistic language. Heather Artinian--precocious, vivacious, and avidly curious about implant surgery--is caught between her deaf parents and her hearing grandparents as they argue passionately about her future. The debate is sometimes silent, but by no means quiet. "Sound and Fury" speaks volumes about the choices we make and the battles we fight in order to be heard.	
Godzilla vs. Kong	2021	tt5034838	https://www.imdb.com/title/tt5034838/?ref_=ls_t_131	The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.	
Godzilla x Kong: The New Empire	2024	tt14539740	https://www.imdb.com/title/tt14539740/?ref_=ls_t_132	Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.	
I See the Crowd Roar The Story of William Dummy Hoy	2007	tt1027039	https://www.imdb.com/title/tt1027039/?ref_=ls_t_135	A true story of a courageous boy who becomes a legend. Living a dream that wouldn't die, his passion empowered him to historically change the course of baseball. Facing challenges on every front he conquered all with his belief and determination, as a true hero. A life-changing story.	
Love Is Never Silent	1985	tt0089510	https://www.imdb.com/title/tt0089510/?ref_=ls_t_136	Margaret Ryder has always looked after her deaf parents, Janice and Abel. Long the only contact her folks have had with the speaking world, Margaret struggles with whether she should strike out on her own or not. When Margaret decides to make a change and ends up getting married, her parents interpret the move as a betrayal -- and Margaret is forced to figure out a way to bridge her old life with her new one.	
Sweet Nothing in My Ear	2008	tt1158793	https://www.imdb.com/title/tt1158793/?ref_=ls_t_137	Family drama about a deaf and hearing couple who struggle to decide whether or not to give their deaf son a cochlear implant.	
And Your Name Is Jonah	1979	tt0078776	https://www.imdb.com/title/tt0078776/?ref_=ls_t_138	A couple whose son had been institutionalized after being diagnosed as intellectually disabled are shocked to discover that the diagnosis was wrong: their son is deaf.	
Hear and Now	2007	tt0912587	https://www.imdb.com/title/tt0912587/?ref_=ls_t_139	A documentary memoir following a filmmaker's deaf parents as they receive a complex surgical implant, which allows them to experience sound for the first time.	
