Title	Year	IMDb ID	IMDb URL	Description
In the Land of the Deaf	1992	tt0107796	https://www.imdb.com/title/tt0107796/?ref_=ls_t_49	With unerring curiousity and sensitivity, director Philbert portrays the difficulties and joys of being deaf, offering vivid portraits of people of all ages coping with and surmounting their challenges.
Hear No Evil	1993	tt0107090	https://www.imdb.com/title/tt0107090/?ref_=ls_t_50	A deaf woman becomes the target of a ruthless and corrupt cop.
Beyond Silence	1996	tt0116692	https://www.imdb.com/title/tt0116692/?ref_=ls_t_51	Since the earliest days in her childhood Lara has had a difficult but important task. Both her parents are deaf-mute and Lara has to translate from sign-language to the spoken word and vice versa when her parents want to communicate with other people. Getting older and more mature she becomes interested in music and starts to play clarinet very successfully. However her parents are deaf, they cannot share Lara's musical career. The day comes when Lara has to decide between her parents and her own ambitions.
His Bodyguard (TV Movie)	1998	tt0134099	https://www.imdb.com/title/tt0134099/?ref_=ls_t_52	A deaf man working at his father's high tech chemical engineering firm witnesses criminals fleeing from the firm's headquarters just after they've stolen an ultra-valuable experimental migraine cure. A female security officer is assigned to protect him, and as she does, the two fall for each other.
Where the Truth Lies (TV Movie)	1999	tt0207944	https://www.imdb.com/title/tt0207944/?ref_=ls_t_53	An ambitious but inexperienced young lawyer defends a deaf political campaign manager accused of murder. Is her client too blinded by love to reveal all?
Bangkok Dangerous	2000	tt0263101	https://www.imdb.com/title/tt0263101/?ref_=ls_t_54	The story is of a deaf-mute hitman and his partner who are based in Bangkok. He is friends with his partner's girlfriend who is a stripper at a local club. They go about their assassination business as usual as the boss climbs the underworld ladder and forms new alliances. Flashbacks explain how he got to this point in his life. He forms a relationship with a young woman from the pharmacy who is caring and innocent. The hunts continue as treachery begins. A big name hit makes him realize that good people are hurt by his actions. The first rule of assassination closes in on him as he strikes revenge.
Stille Liebe (Silent Love)	2001	tt0295636	https://www.imdb.com/title/tt0295636/?ref_=ls_t_55	Antonia (Emmanuelle Laborit) is a deaf woman in her late twenties who lost her parents as a child. With nowhere to go, Antonia was taken in by Verena (Renate Becker), the mother superior at a Swiss convent where many of the sisters have taken a vow of silence. As she's grown older she begins to wonder if she made the right choice. Doing volunteer work at a homeless shelter, she meets Mikas (Lars Otterstedt), a petty thief and onetime carnival performer who is also deaf. Mikas boldly expresses his desire for Antonia, and to her surprise, she finds herself responding to his advances.
Iqbal	2005	tt0453729	https://www.imdb.com/title/tt0453729/?ref_=ls_t_56	Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player.
Black	2005	tt0375611	https://www.imdb.com/title/tt0375611/?ref_=ls_t_57	Michelle, a disabled girl who can't see, hear, or speak, suffering in a world that has given up on her. But when the teacher Debraj enters her life, he becomes a ray of hope that she might pursue her passions and have a normal life.
Babel	2006	tt0449467	https://www.imdb.com/title/tt0449467/?ref_=ls_t_58	Tragedy strikes a married couple on vacation in the Moroccan desert, which jump starts an interlocking story involving four different families.
Universal Signs	2008	tt0494285	https://www.imdb.com/title/tt0494285/?ref_=ls_t_59	After his fiancée's daughter dies while in his care, a deaf man shuts himself off from the world. Haunted by memories, it is only through new friendship that he can learn to forgive, love, and reconnect.
Sweet Nothing in My Ear (TV Movie)	2008	tt1158793	https://www.imdb.com/title/tt1158793/?ref_=ls_t_60	Family drama about a deaf and hearing couple who struggle to decide whether or not to give their deaf son a cochlear implant.
Bangkok Dangerous	2008	tt0814022	https://www.imdb.com/title/tt0814022/?ref_=ls_t_61	A hitman who's in Bangkok to pull off a series of jobs violates his personal code when he falls for a local woman and bonds with his errand boy.
The Deaf Family	2009	tt1808543	https://www.imdb.com/title/tt1808543/?ref_=ls_t_62	The Deaf Family portrays a dysfunctional deaf family going through everyday trials and tribulations. As each character encounters and muddles through a new challenge, they come to realize that they must accept their own identities as deaf individuals if they want to be accepted by everyone, including hearing people.
Orphan	2009	tt1148204	https://www.imdb.com/title/tt1148204/?ref_=ls_t_63	A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.
Love is Deaf	2009	tt1458498	https://www.imdb.com/title/tt1458498/?ref_=ls_t_64	Boy meets girl. Girl sings horribly. Boy doesn't care.
Dinig sana kita	2009	tt1424051	https://www.imdb.com/title/tt1424051/?ref_=ls_t_65	
Flying By	2009	tt1131732	https://www.imdb.com/title/tt1131732/?ref_=ls_t_66	This musically driven drama follows a successful Real Estate developer who puts his marriage and business on the line when given the opportunity to follow his ultimate, life-long dream: music.
The Good Shepherd	2006	tt0343737	https://www.imdb.com/title/tt0343737/?ref_=ls_t_67	The tumultuous early history of the Central Intelligence Agency is viewed through the prism of one man's life.
The Story of Alexander Graham Bell	1939	tt0031981	https://www.imdb.com/title/tt0031981/?ref_=ls_t_68	The story of how Alexander Graham Bell invented the telephone.
The Bélier Family	2014	tt3547740	https://www.imdb.com/title/tt3547740/?ref_=ls_t_69	A girl who lives with her deaf parents discovers that she has the gift of singing.
Kung Fu Hustle	2004	tt0373074	https://www.imdb.com/title/tt0373074/?ref_=ls_t_70	In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious 'Axe Gang' while residents of a housing complex exhibit extraordinary powers in defending their turf.
Maxie	1973	tt0095679	https://www.imdb.com/title/tt0095679/?ref_=ls_t_71	A mute young girl finds out that a butcher is using his store as a front for murder.
Listen to Your Heart	2010	tt1274296	https://www.imdb.com/title/tt1274296/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_Listen%20to%20Your%20Heart	When Danny, a struggling musician, meets Ariana, a hearing-impaired girl, he falls in love with her. Although Ariana is unable to listen to his songs, she manages to inspire him to make great music.
Avenged	2013	tt2378453	https://www.imdb.com/title/tt2378453/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_savaged	A deaf girl is brutalized by a murderous gang who are then hunted by her when the bloodthirsty spirit of an Apache warrior inhabits her lifeless body.
Hush	2016	tt5022702	https://www.imdb.com/title/tt5022702/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_hush	A deaf and mute European-American writer in her 20's who retreated into the woods to live a solitary life must fight for her life in silence when a masked serial killer appears at her window.
Deaf U (TV Series)	2020	tt13070478	https://www.imdb.com/title/tt13070478/	Deaf U follows a group of students attending Gallaudet University, a private college catering to the deaf and hard of hearing. For DiMarco, the goal of the series is to show deaf people as humans, from all walks of life.
The Tribe	2014	tt1745787	https://www.imdb.com/title/tt1745787/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_the%20tribe	A deaf boy joins a boarding school for similar children. Confronted by the violent and criminal antics of some of the other boys and girls, he struggles to conform and join the 'tribe'.
The Silent Hour	2024	tt22874848	https://www.imdb.com/title/tt22874848/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_the%20silent%20hour	A detective with hearing loss and a deaf witness to a murder must lean on each other to outsmart killers they can't hear coming when cornered in an abandoned apartment block.
Sound of Metal	2019	tt5363618	https://www.imdb.com/title/tt5363618/?ref_=ls_t_78	A drummer begins to experience hearing loss and fears for his music career.
